datetime,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-03-30 15:00:00+00:00,3805,0.21379518664598046,0.4650296159253772,0.16998469757918114,0.3912875299195561,59033.6950994461,58800.81606476,59049.5703401409,58781.7941714757,57041854201.0,1097739910539.0
2021-03-30 16:00:00+00:00,3410,0.2481534769549459,0.4744059121802465,0.1945587253060088,0.3891080010360905,58762.355632739,58888.00289231,58949.29920443,58762.355632739,56629378968.0,1099371292796.0
2021-03-30 17:00:00+00:00,3561,0.2653346749923305,0.474603827188169,0.21465071116823425,0.3980442460838944,58894.8670488555,58952.89006986,59050.12191306,58894.8670488555,55808910831.0,1100582661781.0
2021-03-30 18:00:00+00:00,3878,0.27384848734891903,0.4827695279324776,0.22354112892329667,0.4090379984186265,58945.404982147,59027.3857378,59230.1133883308,58945.404982147,55593464292.0,1101978191449.0
2021-03-30 19:00:00+00:00,3308,0.2862184770085224,0.4835420578057142,0.2319157421045201,0.4093693678377184,59005.1588004661,59134.6767224,59179.40187611,58948.7058921656,55524856938.0,1103981199438.0
2021-03-30 20:00:00+00:00,2603,0.2717463127509969,0.4873893089832403,0.21054565591330784,0.3985638730684477,59200.9429401532,58870.05522645,59200.9429401532,58736.40636525,55201681714.0,1099046885994.0
2021-03-30 21:00:00+00:00,2307,0.2724004890730872,0.4865087225780714,0.21144979639607614,0.3946756869270675,58858.342701024405,58975.22185123,58992.3834044654,58842.9015027699,54805558411.0,1101010244972.0
2021-03-30 22:00:00+00:00,2155,0.2669577375417049,0.4876188857553808,0.202581756987803,0.393877649707972,58969.9143549139,58905.59974009,59086.681218233796,58887.09463236,53909523950.0,1099714119769.0
2021-03-30 23:00:00+00:00,2045,0.28812871454744343,0.4981229165396512,0.22514323133179973,0.4087086726347257,58874.6855168875,58917.6930451,58943.2281840449,58824.622696944694,54414116432.0,1099939890804.0
2021-03-31 00:00:00+00:00,1870,0.3023906246010898,0.5092809480755583,0.21888444171904747,0.398092904830992,58969.000845096794,59152.79970475,59180.6692031343,58962.54497484,54570188957.0,1104333200442.0
2021-03-31 01:00:00+00:00,1739,0.2824595071255713,0.4925214935158219,0.2065208914118686,0.3870812591287221,59154.509247099995,59163.73919579,59204.200675475404,59098.2952011,54014127010.0,1104537431572.0
2021-03-31 02:00:00+00:00,1733,0.2979230907322048,0.5066410807534542,0.22406996500996584,0.4112900908363715,59132.9610276916,58978.11665529,59132.9610276916,58978.1166552875,53696546085.0,1101075317067.0
2021-03-31 03:00:00+00:00,1887,0.29185017699230537,0.5014402073178721,0.22032008294795946,0.3972778336634946,58959.950794703494,58734.98272227,58959.950794703494,58718.9064221055,54270000206.0,1096536196668.0
2021-03-31 04:00:00+00:00,1809,0.3191999583112023,0.5073764755994289,0.2516432548056122,0.42292956904418144,58790.8745926321,58964.65569499,58969.1761695158,58741.9332156269,53914506951.0,1100829554142.0
2021-03-31 05:00:00+00:00,1885,0.31989869505597474,0.5116636459474809,0.24589064650777526,0.41920697070440427,58928.4402033254,58941.48230185,58942.6697217125,58823.0671799466,53561252745.0,1100396922836.0
