datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,highLowDif,volume,marketcap,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-03-14 02:00:00+00:00,61049.8873424447,61020.98785915,61155.27164918,60857.70234451,297.569304670003,60091929547,1138235897462,1514,0.220999404489036,0.491564297297701,0.128147567575766,0.31581444871758
2021-03-14 03:00:00+00:00,61010.2043458767,61271.08044073,61342.42591447,60943.91532332,398.51059115,60280037234,1142900921153,1435,0.194335350129425,0.480602793800795,0.124059098053102,0.330746941121212
2021-03-14 04:00:00+00:00,61378.2155280545,61184.06697918,61378.2155280545,61159.54930967,218.666218384496,60239223621,1141282798693,1379,0.237266078399744,0.492702999827242,0.135279177111316,0.309643387243207
2021-03-14 05:00:00+00:00,61199.4719494638,61050.29468848,61227.4318262,60962.69119069,264.740635510003,59866437003,1138787508303,1186,0.226221346082094,0.504156997993954,0.1349257749765,0.336104665329303
2021-03-14 06:00:00+00:00,60967.6763596134,60886.58738966,60967.6763596134,60680.53496115,287.141398463398,60675801157,1135740347050,1505,0.201677861636796,0.4968146141717,0.115949351644397,0.315510198398542
2021-03-14 07:00:00+00:00,60879.5946785027,60565.66841002,60879.5946785027,60565.66841002,313.926268482697,60137881607,1129754124978,1520,0.212554640064132,0.500883060113379,0.126772946190649,0.328895932228728
2021-03-14 08:00:00+00:00,60449.3697598066,60754.30786971,60781.5221556947,60357.97251875,423.549636944699,58932109407,1133278173184,1623,0.232525419091222,0.486983903705261,0.151727461794272,0.345754265849093
2021-03-14 09:00:00+00:00,60742.3047977456,60948.63748628,61037.18781157,60710.6522898,326.535521770005,59401525333,1136903093302,1385,0.235291537915045,0.510385317375894,0.152155194518396,0.360672290945631
2021-03-14 10:00:00+00:00,60934.994030088,60344.83625893,60934.994030088,60286.9680367588,648.025993329196,53987771453,1125645782467,1488,0.224582568338871,0.513550050800511,0.144591061651194,0.366897647923937
2021-03-14 11:00:00+00:00,60307.9417089611,60220.2846541,60307.9417089611,59673.7938332,634.147875761104,52325960243,1123322452131,1706,0.206724412709428,0.512117549809883,0.129637629936471,0.348820545441807
2021-03-14 12:00:00+00:00,60313.7624288,60420.77453545,60486.22501024,60276.9755375752,209.2494726648,50543890914,1127066832919,1729,0.228911125212173,0.497912346771526,0.15091478796153,0.356535282914482
2021-03-14 13:00:00+00:00,60360.28182322,59853.01992642,60452.6791579209,59853.0199264157,599.659231505204,49459310690,1116476147943,1735,0.212192982454273,0.489392486968441,0.131668466035728,0.335045625693779
2021-03-14 14:00:00+00:00,60077.12892856,59993.12974243,60398.41401351,59993.12974243,405.284271080003,49158670037,1119093844276,2437,0.211886558504032,0.497901049427471,0.127365327063006,0.336504328448621
2021-03-14 15:00:00+00:00,59990.9385362409,59629.24741319,60066.76799808,59629.24741319,437.520584890001,48927293051,1112306092471,2109,0.210878713560785,0.490232961527104,0.130747975902247,0.342314663880476
2021-03-14 16:00:00+00:00,59713.6525325156,59535.78051944,59994.0900473542,59509.55668546,484.533361894202,48659943708,1110567411474,1923,0.202408415099225,0.496456592992192,0.124232709866291,0.341499707305258
