datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,highLowDif,volume,marketcap,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-03-20 12:00:00+00:00,59476.8171114457,59387.63324521,59476.8171114457,59136.10600258,340.711108865697,46400474339,1108117530756,2225,0.261869865048254,0.481623289760683,0.161125235980416,0.325240238000107
2021-03-20 13:00:00+00:00,59439.790569476,59182.84152961,59986.67277885,59182.84152961,803.83124924,47515185057,1104296309437,2579,0.254105991222627,0.477098179611113,0.165086213386501,0.339195072380786
2021-03-20 14:00:00+00:00,59222.90373821,59462.59589029,59501.8763350101,59122.8699846527,379.006350357398,48182362974,1109525539563,2295,0.258414560902617,0.483303384428496,0.171822218292015,0.345985199631882
2021-03-20 15:00:00+00:00,59464.0073116521,59405.78635567,59801.54509655,59405.78635567,395.758740879995,48569835221,1108465518072,2507,0.273441565810077,0.47508186230527,0.176535076827934,0.3336014395748
2021-03-20 16:00:00+00:00,59403.1948885754,59314.68822404,59467.1024096458,59235.3195579282,231.782851717602,48419562726,1106769790888,2563,0.287994462634614,0.499739276703321,0.191317322566302,0.362977113383533
2021-03-20 17:00:00+00:00,59344.7986280053,59367.08122749,59492.3450022005,59344.7986280053,147.546374195197,48617604315,1107747406976,2229,0.26253119546185,0.501205747684598,0.176073803669474,0.366619783771824
2021-03-20 18:00:00+00:00,59386.6173130439,59418.10776976,59621.7587455367,59386.6173130439,235.141432492805,48709110993,1108704754666,2132,0.248703848610737,0.494692194330665,0.165695940296285,0.360123192271584
2021-03-20 19:00:00+00:00,59415.6800852919,59478.20039889,59589.27668908,59415.6800852919,173.596603788101,48510571391,1109826045568,1891,0.265088118480147,0.478749276504139,0.17416131593599,0.34410104248735
2021-03-20 20:00:00+00:00,59458.1873421272,58734.46760644,59458.18734213,58555.2358893274,902.951452802598,47959799567,1095953566393,1844,0.236890625472623,0.482782745269032,0.15020977111673,0.336702274261123
2021-03-20 21:00:00+00:00,58717.7063810864,58962.39457401,58962.39457401,58701.90516909,260.489404920001,48693035217,1100206560983,1593,0.24080600275346,0.484330323356683,0.163510248783214,0.35491931103122
2021-03-20 22:00:00+00:00,58972.4752550744,58846.88096049,59017.01643414,58702.64073469,314.37569945,48709148281,1098055199536,1514,0.251884286664691,0.501509679088912,0.160836205062958,0.3473759703781
2021-03-20 23:00:00+00:00,58677.3137212943,58313.64260857,58695.5954630119,58313.64260857,381.952854441901,50361731222,1088105221978,1415,0.233622440760577,0.48065309276045,0.146595313538865,0.342607702138254
2021-03-21 00:00:00+00:00,58283.3855577461,58535.91586643,58754.95425807,58232.34696669,522.607291380002,52630305415,1092258590315,1264,0.243037166399003,0.509122134980914,0.151640774373954,0.350560792094909
2021-03-21 01:00:00+00:00,58545.6176000115,58399.4036753,58658.61805018,58397.87268164,260.745368539996,52875204230,1089711323201,1136,0.27476556356534,0.495819743142392,0.177432814567165,0.354156959387423
2021-03-21 02:00:00+00:00,58374.5637377463,57858.59537435,58374.5637377463,57835.9683787038,538.595359042498,53331817694,1079624032107,1252,0.255624709231734,0.48105832198358,0.166100969468465,0.329690832738747
2021-03-21 03:00:00+00:00,57845.8655123452,58078.14825923,58078.14825923,57816.3977297,261.75052953,52886248545,1083720823073,1250,0.271075439829834,0.492690163586591,0.187424376213204,0.367297120892231
2021-03-21 04:00:00+00:00,57967.4267311815,57190.81221553,57987.760821045,57070.4705273187,917.290293726299,54218034644,1067166601384,1280,0.252233029026182,0.478969861602953,0.173186369828322,0.355584116321868
2021-03-21 05:00:00+00:00,57111.171857788,57318.26767818,57334.3831966,57111.171857788,223.211338811998,54545059643,1069544889218,1219,0.292300158909044,0.50490150537434,0.194545210274996,0.365484258015749
