datetime,ethereum_count,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-04-19 16:00:00+00:00,877,0.17188498882318065,0.499831493697819,0.10983066378477996,0.33694710917009524,2112.671613548093,2105.88221737,2140.295215993648,2100.977101712797,33121139579.0,243302401907.0
2021-04-19 17:00:00+00:00,799,0.151246716432211,0.4875234169338237,0.09652947430997766,0.337772196715243,2101.920595935219,2145.37006959,2145.37006959,2098.31093865,33704139477.0,247864617786.0
2021-04-19 18:00:00+00:00,803,0.16928817269433316,0.4771962164998852,0.1029295684151956,0.305937644027801,2160.250613414188,2170.91475202,2175.75957991,2158.10834225,34082884157.0,250818233801.0
2021-04-19 19:00:00+00:00,714,0.10514801677900992,0.4946404999463104,0.0596179046591668,0.31407270579115243,2167.2933439248873,2188.65376241,2188.65376241,2158.98413216,34333215526.0,252867723424.0
2021-04-19 20:00:00+00:00,782,0.14525404917294982,0.5104393235490788,0.09657711290821797,0.3730483469788277,2179.12732053,2203.71106517,2212.73774218,2178.4177869576765,34585118687.0,254609959700.0
2021-04-19 21:00:00+00:00,613,0.16372341224018291,0.5157675764514666,0.10502257907114172,0.3547474550227161,2205.203058275668,2201.92354934,2216.53525349,2185.5243042735287,34491018119.0,254403435651.0
2021-04-19 22:00:00+00:00,528,0.21125326869076866,0.5009306453689233,0.1253963252656434,0.32279220730992114,2201.881277234576,2195.96755058,2207.827739785761,2183.209907778886,34344288298.0,253717725895.0
2021-04-19 23:00:00+00:00,433,0.10576980866848668,0.5359702927620763,0.060392225138788926,0.3432238783302886,2181.3401732928187,2166.1887655,2197.9178667249225,2158.49159056,34060654971.0,250277144257.0
2021-04-20 00:00:00+00:00,504,0.1882516454224788,0.50490962108823,0.10486165925390066,0.3174100270501605,2161.9394606231303,2079.03361186,2161.9394606231303,2079.03361186,34041035428.0,240209796994.0
2021-04-20 01:00:00+00:00,512,0.18021509226997012,0.5076208388267744,0.11252008299089508,0.35816901825848546,2101.0787490333787,2100.71720128,2125.9484017,2088.357583638425,34628962298.0,242715100700.0
2021-04-20 02:00:00+00:00,484,0.19774994130889334,0.5194683205158913,0.12339165275132585,0.3496149187123301,2098.3474263525736,2085.16097568,2099.86017045926,2069.15898323,34802162820.0,240920099915.0
2021-04-20 03:00:00+00:00,558,0.19931941617847984,0.5325192431025765,0.1179933336339586,0.3428720598278381,2099.707417009908,2111.88058969,2112.0672357990024,2089.404796755136,31348430516.0,244007291817.0
2021-04-20 04:00:00+00:00,456,0.20989240846767726,0.5142715670376558,0.11938834243115586,0.3176845765798363,2110.357157760392,2140.11068243,2145.34620733,2109.59175024,35629088929.0,247271522304.0
2021-04-20 05:00:00+00:00,510,0.17866058448083635,0.556999027143125,0.12357756245591366,0.4300689539335657,2141.7288820770527,2116.89703426,2142.32274841,2115.80903083,35387169781.0,244589383399.0
2021-04-20 06:00:00+00:00,535,0.2185196721614377,0.5259015848895864,0.13977934336583586,0.37165670663984735,2122.1612994085144,2068.55235895,2126.3553893,2065.583579663949,35109954802.0,239005932526.0
2021-04-20 07:00:00+00:00,655,0.12260530592521338,0.4990130600942892,0.07291504977931193,0.3264468697092597,2078.8080894666195,2093.76307443,2093.76307443,2060.57476112,35709593775.0,241918844320.0
2021-04-20 08:00:00+00:00,677,0.2277702971631541,0.5266940602771171,0.1419664180948426,0.3619518542087037,2092.9974544031,2142.58360742,2149.01324657,2089.80302153,36841483847.0,247561984395.0
2021-04-20 09:00:00+00:00,611,0.1857923035758535,0.5424298047746006,0.10676124906970688,0.36296919772230735,2142.494482424932,2137.90376464,2154.88698177,2136.31686009,36829871440.0,247021258161.0
