datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-01-31 00:00:00+00:00,34103.74931644,34059.94486034,34271.03573117,33929.17014952,63578645907,634026725074
2021-01-31 01:00:00+00:00,34064.3225855674,34190.13691183,34190.13691183,34002.08564156,62850316796,636450253367
2021-01-31 02:00:00+00:00,34191.3782064523,33792.50893304,34191.3782064523,33745.48102586,61966190706,629050290982
2021-01-31 03:00:00+00:00,33721.7591504159,33911.35907804,34003.33543403,33721.7591504159,59842750174,631262696058
2021-01-31 04:00:00+00:00,33829.10747501,34022.14050925,34042.6713716896,33829.10747501,58869144788,633327453034
2021-01-31 05:00:00+00:00,33974.8011205752,33764.93013696,33974.8011205752,33719.5118762238,58180207142,628539441829
2021-01-31 06:00:00+00:00,33711.9257050271,33650.08622075,33802.9675351864,33635.33404897,57351193263,626403690718
2021-01-31 07:00:00+00:00,33624.8479595673,33579.94567873,33785.8590029464,33540.7906291887,56786960820,625098009238
2021-01-31 08:00:00+00:00,33572.7189138129,33533.22860519,33761.1978147,33520.6965145434,55980175776,624231512853
2021-01-31 09:00:00+00:00,33540.4047866203,33371.68126386,33712.46548947,33371.68126386,55721470676,621224258691
2021-01-31 10:00:00+00:00,33396.89152555,33635.60491686,33661.32998444,33396.89152555,55814046118,626140004320
2021-01-31 11:00:00+00:00,33628.29956235,33589.44871469,33686.7169456832,33530.36897058,55162723834,625280788477
2021-01-31 12:00:00+00:00,33550.8827253543,33977.49713476,34104.873489082,33425.434482464,56174000336,632507010632
2021-01-31 13:00:00+00:00,33983.6063863822,33634.41656275,34010.59724004,33634.41656275,55682670965,626120405223
2021-01-31 14:00:00+00:00,33671.3320284553,33403.99610524,33688.87862897,33403.99610524,55111035267,621833325445
2021-01-31 15:00:00+00:00,33360.5034405904,32902.21669652,33413.79264149,32702.13135625,56516264341,612492432296
2021-01-31 16:00:00+00:00,32862.4592880144,32976.92150342,32996.3037243372,32843.75175657,51076916760,613885377801
2021-01-31 17:00:00+00:00,32872.4683995355,32316.80283881,32967.15111273,32316.8028388055,50838592795,601596868827
2021-01-31 18:00:00+00:00,32358.8796888,32630.97283869,32718.5727742219,32358.8796888,51634008856,607445333762
2021-01-31 19:00:00+00:00,32584.2773136986,32832.04551174,32885.4207607484,32584.2773136986,52056245380,611188423421
2021-01-31 20:00:00+00:00,32748.60362579,32889.90394545,32924.6047147,32624.995464011,52323665253,612271051620
2021-01-31 21:00:00+00:00,32887.4616222308,32690.71011867,32887.4616222308,32633.016794716,52356025080,608562904159
2021-01-31 22:00:00+00:00,32630.0880438699,32952.76541767,33059.96617186,32630.0880438699,52607612634,613444561920
2021-01-31 23:00:00+00:00,32983.4161377383,33114.35774753,33156.5941579139,32983.4161377383,52754542671,616452744533
2021-02-01 00:00:00+00:00,32945.66787152,32551.9595545206,32945.66787152,32387.17789757,53131861798,605984837670
2021-02-01 01:00:00+00:00,32583.2911550979,33425.8900917174,33425.8900917174,32583.2911550979,54838060741,622253863006
2021-02-01 02:00:00+00:00,33418.3790492543,33655.01724581,33755.4882573556,33418.3790492543,55315154963,626521565463
2021-02-01 03:00:00+00:00,33634.60887178,33562.88734014,33712.2824904868,33532.4959725607,56097670891,624806475784
2021-02-01 04:00:00+00:00,33573.5840528395,33563.9528811,33776.440785166,33484.79030949,57181814177,624827990085
2021-02-01 05:00:00+00:00,33542.5014520032,33766.6036463209,33766.6036463209,33492.0447287129,57822348720,628600545444
2021-02-01 06:00:00+00:00,33775.8048693073,33395.1648622434,33930.1361442257,33395.1648622434,59261424794,621688129334
2021-02-01 07:00:00+00:00,33516.9224648292,33749.07209947,33749.07209947,33516.9224648292,60289158909,628276506100
2021-02-01 08:00:00+00:00,33817.27319248,34249.64595906,34249.64595906,33657.05819923,61958712049,637596957616
2021-02-01 09:00:00+00:00,34513.28281002,34341.16017875,34622.94126956,34327.761651654,64034675050,639300601156
2021-02-01 10:00:00+00:00,34309.4133189807,34128.50019069,34405.0249399595,34093.5466466339,63721230550,635344043233
2021-02-01 11:00:00+00:00,34129.2012454565,34312.13554778,34312.1355477803,33999.90871535,65238136205,638762641461
2021-02-01 12:00:00+00:00,34207.76721683,33768.12443833,34265.4037006381,33768.12443833,65804004476,628637534981
2021-02-01 13:00:00+00:00,33779.9513247017,33716.10671118,33899.52417378,33716.10671118,66971737812,627669157367
2021-02-01 14:00:00+00:00,33661.5431400123,33536.8830423,33777.4328947845,33443.5249951,67966334027,624334755067
2021-02-01 15:00:00+00:00,33519.92441132,33245.20778268,33566.1835899661,33245.20778268,66266685756,618904822848
2021-02-01 16:00:00+00:00,33172.0368044754,33366.8753616433,33388.5972978426,33172.0368044754,61577209366,621171932654
2021-02-01 19:00:00+00:00,33940.89480922,33940.89480922,33940.89480922,33940.89480922,61267941951,631861279152
2021-02-02 01:00:00+00:00,33567.28926556,33567.28926556,33567.28926556,33567.28926556,61396493411,624911079917
2021-02-02 04:00:00+00:00,33877.16511784,33884.15293,33884.15293,33847.36930894,61273709606,630811313157
2021-02-02 05:00:00+00:00,33860.26403517,33843.6067648,33860.26403517,33843.6067648,61068657307,630056477120
2021-02-02 08:00:00+00:00,34359.81060046,34502.71167695,34502.71167695,34160.465268595,61915382246,642326839492
2021-02-02 09:00:00+00:00,34666.0860733445,35292.50712839,35442.85712303,34666.0860733445,64452499135,657030229212
2021-02-02 10:00:00+00:00,35349.828881683,35088.3678817,35349.828881683,35081.6381336,64247791333,653241899272
