datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-01-31 00:00:00+00:00,34103.74931644,33114.35774753,34271.03573117,32316.802838805474,52754542671.0,616452744533.0
2021-02-01 00:00:00+00:00,32945.66787152,33940.89480922,34622.94126956,32387.17789757,61267941951.0,631861279152.0
2021-02-02 00:00:00+00:00,33567.28926556,35510.28903716,35857.523924792455,33567.28926556,63088585433.0,661114581664.0
2021-02-03 00:00:00+00:00,35510.82121346216,37472.09010368,37472.09010368,35443.982726227434,61166818159.0,697672910488.0
2021-02-04 00:00:00+00:00,37683.91979380173,36926.06446515,38548.92532993,36329.44018555482,68838074392.0,687542752523.0
2021-02-05 00:00:00+00:00,36939.483046829366,38144.30686267,38205.43651938,36698.07726897,58598066402.0,710266752534.0
2021-02-06 00:00:00+00:00,38195.58095638666,39266.01073494,40815.564097980314,38195.58095638666,71326033653.0,731192490093.0
2021-02-07 00:00:00+00:00,38963.167127963425,38903.44147971,39620.66290216,37446.15388489,65500641143.0,724478833211.0
2021-02-08 00:00:00+00:00,38845.565402082175,46196.46371944,46196.46371944,38080.92276508,101467222687.0,860342706260.0
2021-02-09 00:00:00+00:00,46346.34769214359,46481.10423596,47899.58772499,45166.96004492,91809846886.0,865682956619.0
2021-02-10 00:00:00+00:00,46430.3934684398,44918.18449192,47125.3384129859,43909.73163303,87301089896.0,836616907527.0
2021-02-11 00:00:00+00:00,44682.82217305313,47909.33119483,48447.695341,44192.11562264,81388911810.0,892364856136.0
2021-02-12 00:00:00+00:00,48080.81839959,47504.85118326,48700.08269344,46424.97781781,76555041196.0,884874050612.0
2021-02-13 00:00:00+00:00,47397.506590173485,47105.51747252,47980.18319843375,46392.28233345,70250456155.0,877478894464.0
2021-02-14 00:00:00+00:00,47184.52240529422,48717.2902111,49485.17311195,47119.39011111048,71248675228.0,907551330153.0
2021-02-15 00:00:00+00:00,48696.536659929225,47945.05683234,48875.57161074181,46347.47709171,77069903166.0,893210080039.0
2021-02-16 00:00:00+00:00,47935.1914876598,49199.87134362,50335.71618308,47236.5518100443,77049582886.0,916623418254.0
2021-02-17 00:00:00+00:00,49230.67388923003,52149.00753587,52530.01307129394,49098.93426383335,80820545404.0,971611626454.0
2021-02-18 00:00:00+00:00,52223.23808099802,51679.79669449,52474.10724863179,51123.45505503859,52054723579.0,962915078024.0
2021-02-19 00:00:00+00:00,51653.81382594588,55888.13368221,56113.65054685183,50937.27572157,63495496918.0,1041380696669.0
2021-02-20 00:00:00+00:00,55951.37531705263,56099.52051348,57483.409198142865,54667.59175422,68145460026.0,1045371087640.0
2021-02-21 00:00:00+00:00,56008.060839275466,57539.9436679,58330.57214185,55676.04477246153,51897585191.0,1072263294725.0
2021-02-22 00:00:00+00:00,57512.64426207982,54207.31906543,57532.31231336,48967.56518819,92052420332.0,1010205212981.0
2021-02-23 00:00:00+00:00,54183.70809475817,48824.42686909,54183.70809475817,45452.87404976681,106102492824.0,909925854460.0
2021-02-24 00:00:00+00:00,48906.639636589185,49705.33331637,51247.36318899898,47218.35555219462,63695521388.0,926393090751.0
2021-02-25 00:00:00+00:00,49709.08242475645,47093.85301914,51927.276023973434,47093.85301914,54506565949.0,877766126138.0
2021-02-26 00:00:00+00:00,47142.89239026279,46339.76008289,48370.78525976,44575.41635464,63374708481.0,863752275053.0
2021-02-27 00:00:00+00:00,46344.7722373413,46188.45127539,48208.88780350402,45269.0257658,45910946382.0,860978135421.0
2021-02-28 00:00:00+00:00,46194.01635185693,45137.77046805,46711.84756146646,43343.45857851,53443887451.0,841428977515.0
2021-03-01 00:00:00+00:00,45308.47167451635,49631.24137077,49773.18922304,45125.107183872344,53891300112.0,925235527882.0
2021-03-02 00:00:00+00:00,49698.87226694,48378.98805435,50111.10562480771,47228.84534568842,47530897720.0,901933683269.0
2021-03-03 00:00:00+00:00,48408.51901813,50538.24341445,52522.24911288557,48276.38606021,53220811975.0,942236576905.0
2021-03-04 00:00:00+00:00,50383.58213215687,48561.1661539,51724.20126156082,47656.92904602537,52343816680.0,905414104807.0
2021-03-05 00:00:00+00:00,48527.031980743195,48927.3045548,49396.43086209414,46542.51494044,48625928883.0,912285065720.0
