datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-01-31 00:00:00+00:00,1371.62682919,1314.9862286,1378.302531015034,1291.7005183,25198853581.0,150543956657.0
2021-02-01 00:00:00+00:00,1302.86287781,1332.95859544,1341.7613644015846,1274.96888989,27244249432.0,152616636429.0
2021-02-02 00:00:00+00:00,1421.69153912,1515.19376962,1542.99094561,1409.7172095995497,45437142801.0,173505318779.0
2021-02-03 00:00:00+00:00,1514.7696231683542,1660.909542,1660.909542,1510.1296078403388,41874566399.0,190213812447.0
2021-02-04 00:00:00+00:00,1668.7794529760547,1594.76269414,1687.6254598494052,1561.85349322,44396871836.0,182660183410.0
2021-02-05 00:00:00+00:00,1598.0497960759985,1718.65087218,1755.6126489957326,1597.3596495520621,40108628454.0,196873128687.0
2021-02-06 00:00:00+00:00,1716.1612579183309,1677.84684697,1737.8798437820872,1650.1648222,39873420648.0,192221649234.0
2021-02-07 00:00:00+00:00,1674.6453298158292,1614.22782334,1690.03665184,1501.75027529,39889440151.0,184955254625.0
2021-02-08 00:00:00+00:00,1611.9206927487285,1746.61684904,1770.5907801673807,1573.2737836766605,48012285956.0,200147673571.0
2021-02-09 00:00:00+00:00,1751.657482584526,1768.03501655,1815.96356989,1711.62055635,44180727529.0,202625894959.0
2021-02-10 00:00:00+00:00,1769.744735419094,1744.24343196,1826.041256019585,1687.85346118,41916084617.0,199922942888.0
2021-02-11 00:00:00+00:00,1736.07896275721,1783.79795026,1805.3498009666162,1709.66083477,36021495262.0,204480686291.0
2021-02-12 00:00:00+00:00,1788.1502385,1843.53258814,1861.10189416,1744.53087413,37905036865.0,211353402278.0
2021-02-13 00:00:00+00:00,1846.4308367956558,1814.10985253,1870.8599251547305,1770.6380775175978,35359490535.0,208004282358.0
2021-02-14 00:00:00+00:00,1815.5846748933645,1805.08404652,1848.15405872,1790.56729401,31439114900.0,206994111570.0
2021-02-15 00:00:00+00:00,1804.6767804581978,1779.79097807,1833.83057195,1688.36385661,38955610883.0,204117703894.0
2021-02-16 00:00:00+00:00,1780.9444053209177,1781.06747722,1824.3765815684376,1730.9985837699353,34269369268.0,204288110917.0
2021-02-17 00:00:00+00:00,1783.0625112273576,1848.4582725,1851.5524867607855,1739.14632568,35955412703.0,212042961268.0
2021-02-18 00:00:00+00:00,1852.740884128712,1937.44925643,1949.903391862247,1852.740884128712,28255902969.0,222277377811.0
2021-02-19 00:00:00+00:00,1940.8564323422418,1960.16474353,1969.3740469893423,1898.1796166521308,26268814253.0,224910293534.0
2021-02-20 00:00:00+00:00,1959.8521906988224,1919.5340028,2036.28649332,1832.80521376,34696091102.0,220274162486.0
2021-02-21 00:00:00+00:00,1916.4156239942185,1935.60106022,1974.22938285,1891.56252829,23626547717.0,222144116574.0
2021-02-22 00:00:00+00:00,1935.0006415161738,1781.99297558,1935.0006415161738,1580.62655281,42409646036.0,204538978050.0
2021-02-23 00:00:00+00:00,1780.2963473255481,1570.20392529,1780.2963473255481,1385.8845641574403,52029864713.0,180251030148.0
2021-02-24 00:00:00+00:00,1577.0227038309501,1626.57570543,1706.9387487410008,1511.44182802558,31329000537.0,186743952486.0
2021-02-25 00:00:00+00:00,1625.3938818075799,1475.70373513,1669.1357445112526,1468.77372604,24481681873.0,169442679395.0
2021-02-26 00:00:00+00:00,1483.895099721817,1446.0336503,1559.02889087,1410.83043775,31435997881.0,166055498546.0
2021-02-27 00:00:00+00:00,1446.9294549746608,1459.97312093,1524.35142909,1434.53885519,20742103233.0,167675937684.0
2021-02-28 00:00:00+00:00,1459.860434741861,1416.0489059,1468.3915100691472,1301.65879038769,27637026080.0,162650415374.0
2021-03-01 00:00:00+00:00,1424.3978476265108,1564.70764686,1567.6945563516658,1416.416184615261,24032838645.0,179746905786.0
