datetime,dogecoin_polarity,dogecoin_subjectivity,dogecoin_polarity_zeros,dogecoin_subjectivity_zeros,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros,shared_polarity,shared_subjectivity,shared_polarity_zeros,shared_subjectivity_zeros
2021-01-25,0.20363777700545427,0.5436211988069363,0.20363777700545427,0.5436211988069363,,,,,,,,,,,,
2021-01-26,0.24412398828524384,0.5434650574831654,0.24412398828524384,0.5434650574831654,,,,,,,,,,,,
2021-01-27,0.16291745322463685,0.5429384560684158,0.16291745322463685,0.5429384560684158,,,,,,,,,,,,
2021-01-28,0.15642766703203098,0.5508978817059837,0.15642766703203098,0.5508978817059837,,,,,,,,,,,,
2021-01-29,0.1174158899560646,0.5423693906763095,0.1174158899560646,0.5423693906763095,,,,,,,,,,,,
2021-01-30,0.13753268241486308,0.49471748841231816,0.13753268241486308,0.49471748841231816,,,,,,,,,,,,
2021-01-31,0.1676607906298489,0.5288418503600104,0.1676607906298489,0.5288418503600104,0.18670676949545018,0.5111022900659389,0.18670676949545018,0.5111022900659389,0.11414868272259852,0.5494630415788655,0.11414868272259852,0.5494630415788655,0.24972692422142537,0.4883371659932027,0.24972692422142537,0.4883371659932027
2021-02-01,0.19107332057045737,0.5216380986953174,0.19107332057045737,0.5216380986953174,0.180554632981839,0.4985535550840239,0.180554632981839,0.4985535550840239,0.10883673710855052,0.525597496432981,0.10883673710855052,0.525597496432981,0.3025250679752411,0.5352819243463318,0.3025250679752411,0.5352819243463318
2021-02-02,0.20030763266371374,0.5203464164547111,0.20030763266371374,0.5203464164547111,0.19218251438596545,0.504607051370868,0.19218251438596545,0.504607051370868,0.12682202812882162,0.5267708507556791,0.12682202812882162,0.5267708507556791,0.2530783773761622,0.508626450549512,0.2530783773761622,0.508626450549512
2021-02-03,0.19772967089105256,0.5280968682094609,0.19772967089105256,0.5280968682094609,0.19820745894686442,0.4958870083375275,0.19820745894686442,0.4958870083375275,0.13428240325637095,0.5257305413735499,0.13428240325637095,0.5257305413735499,0.22106459400387962,0.5079341986767691,0.22106459400387962,0.5079341986767691
2021-02-04,0.19184988668403355,0.527283049931665,0.19184988668403355,0.527283049931665,0.20124007982219358,0.5091611804133832,0.20124007982219358,0.5091611804133832,0.11874708066991797,0.5395501755809176,0.11874708066991797,0.5395501755809176,0.23112587630972228,0.5075304621012153,0.23112587630972228,0.5075304621012153
2021-02-05,0.15629476336594816,0.5514503945414294,0.15629476336594816,0.5514503945414294,0.1672104077818744,0.508804676517015,0.1672104077818744,0.508804676517015,0.11207300337354927,0.544332217821176,0.11207300337354927,0.544332217821176,0.22943306587987972,0.5098516028765374,0.22943306587987972,0.5098516028765374
2021-02-06,0.2220446572282412,0.5445080772613295,0.2220446572282412,0.5445080772613295,0.18946613239209528,0.5012701174271763,0.18946613239209528,0.5012701174271763,0.09176435887255399,0.5362223147466582,0.09176435887255399,0.5362223147466582,0.24779471481786508,0.5122327198214945,0.24779471481786508,0.5122327198214945
2021-02-07,0.191831010201682,0.5210455688710727,0.191831010201682,0.5210455688710727,0.18850543226600083,0.4968083563250854,0.18850543226600083,0.4968083563250854,0.09795924688566096,0.5297259534351448,0.09795924688566096,0.5297259534351448,0.2329966675343607,0.5224560203927222,0.2329966675343607,0.5224560203927222
2021-02-08,0.17854520527183024,0.5063912528033861,0.17854520527183024,0.5063912528033861,0.16478019965544705,0.48981071745480814,0.16478019965544705,0.48981071745480814,0.09928970294717705,0.537066012291873,0.09928970294717705,0.537066012291873,0.22623273043474734,0.5117829276213124,0.22623273043474734,0.5117829276213124
2021-02-09,0.20428631922179888,0.5018444313864882,0.20428631922179888,0.5018444313864882,0.17624809120131021,0.48252152056450576,0.17624809120131021,0.48252152056450576,0.11984604437485645,0.5316980922959534,0.11984604437485645,0.5316980922959534,0.23962226494367114,0.5023531903175027,0.23962226494367114,0.5023531903175027
2021-02-10,0.23409569241873338,0.5321247266096327,0.23409569241873338,0.5321247266096327,0.17602103425301976,0.4920440017037249,0.17602103425301976,0.4920440017037249,0.18575416897571967,0.5469029613576424,0.18575416897571967,0.5469029613576424,0.26887353297703726,0.5125175205833051,0.26887353297703726,0.5125175205833051
2021-02-11,0.2220950248052778,0.5260368378546965,0.2220950248052778,0.5260368378546965,0.17833770469087373,0.49206104905998743,0.17833770469087373,0.49206104905998743,0.13283849115051183,0.5459057243518514,0.13283849115051183,0.5459057243518514,0.25723322847049496,0.5120540705452215,0.25723322847049496,0.5120540705452215
2021-02-12,0.20168954271145156,0.5218643141223887,0.20168954271145156,0.5218643141223887,0.18644433825248602,0.49338071854243065,0.18644433825248602,0.49338071854243065,0.12588364747435554,0.5438312378704847,0.12588364747435554,0.5438312378704847,0.21524228610470966,0.5189244935893683,0.21524228610470966,0.5189244935893683
2021-02-13,0.21732002607180775,0.5292617811909115,0.21732002607180775,0.5292617811909115,0.19661677248579898,0.5006939517859876,0.19661677248579898,0.5006939517859876,0.3342699248249406,0.5843814620036716,0.3342699248249406,0.5843814620036716,0.2135288505335041,0.5194972523012376,0.2135288505335041,0.5194972523012376
2021-02-14,0.22649515713998522,0.5228988306214057,0.22649515713998522,0.5228988306214057,0.2021659077477129,0.5004959873239595,0.2021659077477129,0.5004959873239595,0.20324486352025714,0.5496732697622533,0.20324486352025714,0.5496732697622533,0.2579767166267428,0.49404694741127364,0.2579767166267428,0.49404694741127364
