date,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-01-31,30380,0.19126101547591634,0.5095284579358415,0.19126101547591634,0.5095284579358415
2021-02-01,41006,0.1997972520597369,0.5041999068069658,0.1997972520597369,0.5041999068069658
2021-02-02,38208,0.20205606325698947,0.5052410174763916,0.20205606325698947,0.5052410174763916
2021-02-03,40846,0.20201994429170203,0.49787187974177366,0.20201994429170203,0.49787187974177366
2021-02-04,40395,0.20623080652283488,0.5088908711279334,0.20623080652283488,0.5088908711279334
2021-02-05,43739,0.17584123060733123,0.5089470381713812,0.17584123060733123,0.5089470381713812
2021-02-06,44952,0.19730304797843784,0.5027297349341545,0.19730304797843784,0.5027297349341545
2021-02-07,32458,0.195872665960943,0.5009275417265764,0.195872665960943,0.5009275417265764
2021-02-08,95288,0.16952733948772922,0.4914735802990415,0.16952733948772922,0.4914735802990415
2021-02-09,67926,0.18241320835806366,0.48443256674922397,0.18241320835806366,0.48443256674922397
2021-02-10,59457,0.18862769529334217,0.4947969902227334,0.18862769529334217,0.4947969902227334
2021-02-11,52918,0.1881704983379402,0.49449132692540126,0.1881704983379402,0.49449132692540126
2021-02-12,47479,0.19048441461866056,0.49689819994041146,0.19048441461866056,0.49689819994041146
2021-02-13,39091,0.199125083032403,0.5034204252144622,0.199125083032403,0.5034204252144622
2021-02-14,46721,0.21113735947525789,0.49947834283763454,0.21113735947525789,0.49947834283763454
2021-02-15,43954,0.20116893961498294,0.49447533101512825,0.20116893961498294,0.49447533101512825
2021-02-16,61285,0.19989437536294125,0.4953222225279239,0.19989437536294125,0.4953222225279239
2021-02-17,62808,0.191638556141791,0.49665442347799676,0.191638556141791,0.49665442347799676
2021-02-18,46622,0.20021971390892424,0.49996702598635595,0.20021971390892424,0.49996702598635595
2021-02-19,67842,0.18577701410165803,0.50563123327342,0.18577701410165803,0.50563123327342
2021-02-20,57283,0.19746107971932572,0.5038430905193657,0.19746107971932572,0.5038430905193657
2021-02-21,48413,0.1955142577902007,0.5031789591828477,0.1955142577902007,0.5031789591828477
2021-02-22,60591,0.18887967142213008,0.505326995960658,0.18887967142213008,0.505326995960658
2021-02-23,71317,0.1692613524350144,0.49738094697575236,0.1692613524350144,0.49738094697575236
2021-02-24,55831,0.19306967069644115,0.4870457590328349,0.19306967069644115,0.4870457590328349
2021-02-25,50698,0.2186838570557558,0.4981420007288642,0.2186838570557558,0.4981420007288642
2021-02-26,46285,0.18955756965940132,0.49895055008620276,0.18955756965940132,0.49895055008620276
2021-02-27,38061,0.20873973472074234,0.5002698275704409,0.20873973472074234,0.5002698275704409
2021-02-28,44355,0.1928619045783083,0.4993099886904829,0.1928619045783083,0.4993099886904829
2021-03-01,48276,0.2131227716227291,0.502601608085929,0.2131227716227291,0.502601608085929
2021-03-02,46446,0.21734007642397135,0.5034206348312849,0.21734007642397135,0.5034206348312849
2021-03-03,44668,0.20981079348930753,0.5017352794920708,0.20981079348930753,0.5017352794920708
2021-03-04,40975,0.21695581440482478,0.5168573856085706,0.21695581440482478,0.5168573856085706
2021-03-05,40969,0.20493295173257717,0.5045381980719073,0.20493295173257717,0.5045381980719073
2021-03-06,37470,0.23283853287938402,0.5163158631045881,0.23283853287938402,0.5163158631045881
2021-03-07,39025,0.23042528688655076,0.49967954479134297,0.23042528688655076,0.49967954479134297
2021-03-08,49063,0.24559150098846927,0.5066030352930063,0.24559150098846927,0.5066030352930063
2021-03-09,49651,0.22080629367906354,0.509935285229115,0.22080629367906354,0.509935285229115
2021-03-10,51367,0.22766692253567575,0.4997032609267596,0.22766692253567575,0.4997032609267596
2021-03-11,55063,0.26453132940457236,0.5209819036046005,0.26453132940457236,0.5209819036046005
2021-03-12,50741,0.22941141368625098,0.5056235198050057,0.22941141368625098,0.5056235198050057
2021-03-13,70299,0.20899944164791998,0.5028458650431445,0.20899944164791998,0.5028458650431445
2021-03-14,46447,0.2153651882487955,0.49636269452676207,0.2153651882487955,0.49636269452676207
2021-03-15,53826,0.19515076533309883,0.4861486938073436,0.19515076533309883,0.4861486938073436
2021-03-16,50819,0.21127216017441827,0.4861204137271403,0.21127216017441827,0.4861204137271403
2021-03-17,53545,0.2146915317256365,0.49385308185367194,0.2146915317256365,0.49385308185367194
2021-03-18,59056,0.1934705489869804,0.46053929201924804,0.1934705489869804,0.46053929201924804
