time,bitcoin_count,bitcoin_polarity,bitcoin_subjectivity,bitcoin_polarity_zeros,bitcoin_subjectivity_zeros
2021-01-31 00:00:00,1068,0.18534073324132716,0.4801689676669918,0.09525651638682164,0.2925680686715159
2021-01-31 01:00:00,841,0.1396722047946685,0.5021492126523937,0.0709674678264516,0.29064011866331474
2021-01-31 02:00:00,863,0.17795753996195046,0.49116439399451306,0.08637705156047888,0.2685606481782864
2021-01-31 03:00:00,935,0.16368490044744416,0.4986580201139252,0.07011994421270276,0.24572504276310375
2021-01-31 04:00:00,670,0.19341563199448425,0.5223107774045994,0.0958107119527408,0.30137041145237553
2021-01-31 05:00:00,686,0.17223192866161602,0.5144003696245885,0.08380516027899743,0.29446890568849426
2021-01-31 06:00:00,687,0.15989976767101968,0.4807609042384196,0.07604636328657897,0.2695043043651177
2021-01-31 07:00:00,712,0.18369422632842544,0.4690875660739416,0.07843505782230366,0.2341102455452204
2021-01-31 08:00:00,921,0.22445192134254646,0.5003876250687033,0.11770039777718899,0.30435161951587286
2021-01-31 09:00:00,892,0.22912894298361164,0.5209063266334212,0.12055595732259757,0.31535058125826765
2021-01-31 10:00:00,788,0.19845671656682873,0.5149659489442877,0.09941452781115061,0.2966126572718505
2021-01-31 11:00:00,896,0.19563106054613524,0.5173389403423524,0.10597966114625279,0.3283269180440441
2021-01-31 12:00:00,954,0.17349763307796537,0.49455296671865523,0.09186674081856867,0.30636024486996344
2021-01-31 13:00:00,1068,0.19434558056003673,0.510347728181211,0.10616792471271888,0.3193831936466509
2021-01-31 14:00:00,1116,0.18882385301478702,0.506542105832335,0.10812413488108637,0.3171918424616765
2021-01-31 15:00:00,1557,0.17271418604453828,0.48997848451714054,0.0867178160507665,0.27753167293452075
2021-01-31 16:00:00,1394,0.1859760910359051,0.4901259074401121,0.10892885332103013,0.33001811100967543
2021-01-31 17:00:00,1517,0.1704872484905968,0.5025311143141331,0.09291182799836892,0.31687988168978526
2021-01-31 18:00:00,1498,0.1726889650122822,0.5149353415514016,0.10258019716541548,0.3406495336416965
2021-01-31 19:00:00,1452,0.1870757732385879,0.537748114107462,0.10828938128326862,0.35127094550568083
2021-01-31 20:00:00,1353,0.2026248239709508,0.5629401987773905,0.11898655058732668,0.36599162589721673
2021-01-31 21:00:00,1587,0.2078599074832037,0.5616943239760704,0.10527503511012992,0.3227682655462148
2021-01-31 22:00:00,1264,0.21309348167592834,0.5267900808620775,0.12462593894395357,0.3372886716831853
2021-01-31 23:00:00,1110,0.17980924267303564,0.491561121160698,0.09148189539505322,0.3052853278787493
2021-02-01 00:00:00,1234,0.1922962144539862,0.5009966695157495,0.10665168196607637,0.3152279464705188
2021-02-01 01:00:00,1073,0.191564719659264,0.5247949368672066,0.10828568584332049,0.33373187003172056
2021-02-01 02:00:00,1178,0.17158357009037947,0.46870201834051883,0.09954170996213887,0.30999930332679915
2021-02-01 03:00:00,1113,0.23023546697042302,0.5100304834054843,0.12263124522783604,0.3007872081622087
2021-02-01 04:00:00,1085,0.2061702348135467,0.5030924918111246,0.12153464405154005,0.3337159207257772
2021-02-01 05:00:00,1018,0.20815168941435747,0.4928416445533165,0.1182032009625741,0.32283275844961956
2021-02-01 06:00:00,1749,0.18609401780927862,0.5102975083658318,0.10375397726411896,0.3223928579208039
2021-02-01 07:00:00,1544,0.1978009786082068,0.5131828484931301,0.1109037965529775,0.3416832811761952
2021-02-01 08:00:00,1541,0.15348362896519682,0.4927027667404114,0.08143465925311702,0.30749615118511286
2021-02-01 09:00:00,1735,0.1854232789068647,0.48347811048733486,0.09793172383185716,0.2883231872216303
2021-02-01 10:00:00,1337,0.16669851962083626,0.5061245620023552,0.09873947583350363,0.33234112836876645
2021-02-01 11:00:00,1535,0.20532157433111492,0.5048813243680623,0.12027048423410198,0.331213204580873
2021-02-01 12:00:00,1430,0.16315186065910492,0.48279890561669947,0.09369891134688768,0.31152796115056447
2021-02-01 13:00:00,1552,0.19046298663636485,0.5000761414146528,0.10282240945224044,0.30620604311259536
2021-02-01 14:00:00,1816,0.1586118599481953,0.49626465016259275,0.09687598426274446,0.3384991809530887
2021-02-01 15:00:00,1712,0.15900595452235125,0.4930662805507438,0.08564694768321393,0.2991167157900571
2021-02-01 16:00:00,1767,0.17193446409347748,0.4903141150516155,0.10400973753802958,0.33091158382084335
2021-02-01 17:00:00,1991,0.1869513726583349,0.5019831736309427,0.1040850825612892,0.3199342053564571
2021-02-01 18:00:00,1801,0.17026489147101342,0.48377253116784935,0.09877384653585496,0.31904583101499856
2021-02-01 19:00:00,1448,0.16947862968142452,0.5034401458138272,0.09352138928784062,0.3185403104422034
2021-02-01 20:00:00,1400,0.18126619892255208,0.508779559370696,0.09666348181290692,0.31263558051350004
2021-02-01 21:00:00,1576,0.17678270114046554,0.5000550736789166,0.08790067693502926,0.2831398276024952
2021-02-01 22:00:00,1247,0.1778072000257484,0.5085008882779382,0.10264407452868178,0.33310191248503623
2021-02-01 23:00:00,1212,0.1634999351094152,0.4930254325373901,0.08718807880970997,0.30431013611359087
2021-02-02 00:00:00,1078,0.16639792500258654,0.5095598824125613,0.08583864756302642,0.3041791072451013
2021-02-02 01:00:00,1002,0.16199590996832597,0.5086915223845032,0.08751986824262806,0.30587555177146103
2021-02-02 02:00:00,1060,0.17936391065557714,0.4982516961794818,0.09469390764693965,0.2962257408914874
2021-02-02 03:00:00,1045,0.1576566915625357,0.49615032886500177,0.07806115993424821,0.27885821403361416
2021-02-02 04:00:00,889,0.18935652993122504,0.5079730980669247,0.10200373656149202,0.3033007257071127
