date,ethereum_count,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros
2021-01-31,2148,0.11414868272259852,0.5494630415788655,0.11414868272259852,0.5494630415788655
2021-02-01,3910,0.10883673710855052,0.525597496432981,0.10883673710855052,0.525597496432981
2021-02-02,9255,0.12682202812882162,0.5267708507556791,0.12682202812882162,0.5267708507556791
2021-02-03,8614,0.13428240325637095,0.5257305413735499,0.13428240325637095,0.5257305413735499
2021-02-04,7114,0.11874708066991797,0.5395501755809176,0.11874708066991797,0.5395501755809176
2021-02-05,7351,0.11207300337354927,0.544332217821176,0.11207300337354927,0.544332217821176
2021-02-06,5371,0.09176435887255399,0.5362223147466582,0.09176435887255399,0.5362223147466582
2021-02-07,5149,0.09795924688566096,0.5297259534351448,0.09795924688566096,0.5297259534351448
2021-02-08,5605,0.09928970294717705,0.537066012291873,0.09928970294717705,0.537066012291873
2021-02-09,5637,0.11984604437485645,0.5316980922959534,0.11984604437485645,0.5316980922959534
2021-02-10,6359,0.18575416897571967,0.5469029613576424,0.18575416897571967,0.5469029613576424
2021-02-11,4927,0.13283849115051183,0.5459057243518514,0.13283849115051183,0.5459057243518514
2021-02-12,5843,0.12588364747435554,0.5438312378704847,0.12588364747435554,0.5438312378704847
2021-02-13,10476,0.3342699248249406,0.5843814620036716,0.3342699248249406,0.5843814620036716
2021-02-14,6386,0.20324486352025714,0.5496732697622533,0.20324486352025714,0.5496732697622533
2021-02-15,5766,0.13080124850259217,0.5481961630847099,0.13080124850259217,0.5481961630847099
2021-02-16,6283,0.12649599857778746,0.5468619303784833,0.12649599857778746,0.5468619303784833
2021-02-17,6311,0.1219364582702589,0.5508901158199001,0.1219364582702589,0.5508901158199001
2021-02-18,7669,0.11693852339173189,0.5412462030914104,0.11693852339173189,0.5412462030914104
2021-02-19,7012,0.08719877454020998,0.5386732114392652,0.08719877454020998,0.5386732114392652
2021-02-20,8826,0.1316072205598985,0.5457123231111948,0.1316072205598985,0.5457123231111948
2021-02-21,5318,0.10944588756679946,0.5423724858888672,0.10944588756679946,0.5423724858888672
2021-02-22,6403,0.10090539307911989,0.5512984888158499,0.10090539307911989,0.5512984888158499
2021-02-23,6515,0.1078777650782388,0.5291236445552582,0.1078777650782388,0.5291236445552582
2021-02-24,5360,0.13889172692856747,0.5274729159825846,0.13889172692856747,0.5274729159825846
2021-02-25,5280,0.11121893246926441,0.5239460604496323,0.11121893246926441,0.5239460604496323
2021-02-26,5284,0.11693570237327104,0.5221765006899969,0.11693570237327104,0.5221765006899969
