datetime,ethereum_count,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2021-04-04 12:00:00+00:00,729,0.203379515650221,0.550785317981896,0.129243123005794,0.385442357028266,2071.31843045941,2087.85158409,2089.9726785,2064.96465169267,32165520386,240791687395
2021-04-04 13:00:00+00:00,838,0.255157609933926,0.55492701502051,0.151499830898268,0.355500118997514,2090.28229795131,2103.77778893,2105.48005133,2090.28229795131,32476555814,242628454799
2021-04-04 14:00:00+00:00,752,0.274487997013188,0.605165713840634,0.171353563693164,0.416865618927403,2105.810922659,2105.39315982,2110.35341292037,2104.4666292,32303843691,242817189308
2021-04-04 15:00:00+00:00,692,0.194341665131558,0.538348133067056,0.134891155755871,0.411143510907752,2104.92853007826,2092.30479152,2104.92853007826,2089.96676786792,32025552582,241307694140
2021-04-04 16:00:00+00:00,681,0.217075314336747,0.559754596167675,0.146202675775058,0.408034664557546,2093.62605582,2087.87574301,2095.99743607,2082.41733789964,31962018333,240799321949
2021-04-04 17:00:00+00:00,686,0.223015842244798,0.571372919004864,0.137991052388969,0.385676720328283,2088.35972422773,2092.18393717,2094.2636183,2088.20314483,30935469266,241296195498
2021-04-04 18:00:00+00:00,671,0.24073191565379,0.558253913239337,0.160487943769194,0.409147632993787,2094.32269117459,2086.29775914,2095.86759719,2083.78161802,29473414091,240619771724
2021-04-04 19:00:00+00:00,667,0.195978479025847,0.564529003639673,0.111041484139893,0.352409755751207,2087.43110346841,2077.16394394,2087.64177492981,2077.16394394,28614654548,239566337947
2021-04-04 20:00:00+00:00,660,0.135986225604577,0.558821639652262,0.084653676866425,0.416957426495507,2076.46767892623,2078.33615831,2078.9796574,2069.75025204,28130837669,239703988427
2021-04-04 21:00:00+00:00,701,0.181724667043057,0.526149096203692,0.125521161772009,0.397052720021756,2076.74304961536,2084.48354348,2084.48354348,2074.92248928968,27556242499,240412994397
2021-04-04 22:00:00+00:00,522,0.095200228924295,0.578457816106515,0.064266821206597,0.435868774601268,2084.93241812574,2083.21633659,2084.93241812574,2075.47215579622,26651630119,240269262475
2021-04-04 23:00:00+00:00,473,0.188769771894772,0.544585448315051,0.127856842305724,0.415833617084016,2087.82552467,2093.12285275,2096.44966622,2087.58844166163,26006501902,241411837678
2021-04-05 00:00:00+00:00,405,0.234127711469817,0.548646197879688,0.148776806619616,0.389006668730749,2096.8942361652,2074.64208311,2096.89423617,2074.64208311,25083936168,239282570970
2021-04-05 01:00:00+00:00,427,0.198785084881315,0.576760262224548,0.126659523110218,0.399819060834126,2075.27272390952,2073.55236672,2080.4071523519,2072.50838535,24548225179,239156886573
2021-04-05 02:00:00+00:00,346,0.204076793184369,0.551127058379791,0.128521644562675,0.384947525509548,2065.56787068288,2065.03415642,2070.12482373974,2064.5766334,24594280552,238176769625
2021-04-05 03:00:00+00:00,445,0.262232443526266,0.590643165358697,0.152515011665128,0.376819823596795,2062.4812992509,2046.55183226,2066.8795532,2046.55183226,24685177690,236045056573
2021-04-05 04:00:00+00:00,438,0.148593358485776,0.567212542799081,0.103887620259397,0.422565218131121,2046.50922399869,2046.02947748,2054.1617530351,2046.02947748,24849990133,235987224463
2021-04-05 05:00:00+00:00,416,0.228331530790073,0.562960035457822,0.150956726336294,0.422687601373647,2044.37352747703,2039.07150223,2048.81122639,2039.07150223,25103282486,235184697772
2021-04-05 06:00:00+00:00,463,0.208435785455486,0.5617487261188,0.115518628083764,0.343478889765411,2038.00462992704,2043.88021388,2045.82339399,2034.16287517,25562747224,235741424390
2021-04-05 07:00:00+00:00,666,0.202310271706613,0.557048652209253,0.121981193234869,0.369805407769168,2043.47679115608,2048.77946825,2048.94436165125,2037.41908248593,25774786650,236306505061
