time,dogecoin_count,dogecoin_polarity,dogecoin_subjectivity,dogecoin_polarity_zeros,dogecoin_subjectivity_zeros
2021-01-25 00:00:00,49,0.1742376944043611,0.44832433579492403,0.10454261664261666,0.25405045695045697
2021-01-25 01:00:00,37,0.32342622655122655,0.5428182619849287,0.16171311327561327,0.33926141374058044
2021-01-25 02:00:00,17,0.22523809523809524,0.3858654572940287,0.10238095238095238,0.24555074555074555
2021-01-25 03:00:00,23,0.13666666666666666,0.5533333333333333,0.042708333333333334,0.17291666666666666
2021-01-25 04:00:00,30,0.23981292517006803,0.4335796957671958,0.07630411255411255,0.15766534391534393
2021-01-25 05:00:00,24,0.3182900432900433,0.7272732617177061,0.15914502164502164,0.4090912097162097
2021-01-25 06:00:00,25,0.17666666666666667,0.5533333333333335,0.11041666666666666,0.3458333333333334
2021-01-25 07:00:00,22,-0.03844104308390022,0.6397804232804233,-0.016817956349206346,0.39986276455026454
2021-01-25 08:00:00,23,0.17694444444444443,0.7035590277777779,0.13270833333333332,0.5628472222222223
2021-01-25 09:00:00,21,0.19384920634920638,0.466005291005291,0.08077050264550266,0.19416887125220458
2021-01-25 10:00:00,18,0.2004732388823298,0.5791499318582652,0.13782535173160174,0.4343624488936989
2021-01-25 11:00:00,12,0.16166666666666668,0.6394444444444444,0.08083333333333334,0.3197222222222222
2021-01-25 12:00:00,31,0.2272982804232804,0.6299658289241622,0.11859040717736369,0.32867782378651944
2021-01-25 13:00:00,33,0.2748958333333334,0.5268709582598471,0.19123188405797106,0.4123337934207499
2021-01-25 14:00:00,26,0.20813018000518,0.4800013021166868,0.10406509000259,0.26000070531320535
2021-01-25 15:00:00,35,0.325525308025308,0.5161701138367805,0.1763262085137085,0.32260632114798776
2021-01-25 16:00:00,49,0.1872710622710623,0.4375744047619049,0.07607886904761905,0.21878720238095245
2021-01-25 17:00:00,42,0.21416475681181563,0.47373420926052495,0.12136002886002886,0.30003166586499913
2021-01-25 18:00:00,38,0.19280844155844157,0.5121316809552103,0.10283116883116884,0.29020795254128584
2021-01-25 19:00:00,57,0.06948402391259531,0.5363508478587842,0.0413595380432115,0.3447969736235041
2021-01-25 20:00:00,37,0.014069264069264072,0.6227242664742665,0.0041686708353375025,0.18451089377015303
2021-01-25 21:00:00,50,0.20003318903318903,0.5940510850804968,0.09092417683326774,0.30602631655661955
2021-01-25 22:00:00,37,0.39245703791158343,0.6270874327692509,0.18769684421858338,0.29991138088964175
2021-01-25 23:00:00,30,0.27017496392496393,0.5129827541285874,0.1473681621408894,0.2798087749792295
2021-01-26 00:00:00,34,0.283219215969216,0.5440415313852813,0.16339570152070154,0.3347947885447885
2021-01-26 01:00:00,28,0.24662016224516226,0.6061595976774548,0.13358592121612956,0.3535930986451819
2021-01-26 02:00:00,45,0.36441970727685014,0.5608279767370677,0.2186518243661101,0.35252044252044257
2021-01-26 03:00:00,39,0.19829939000393546,0.5299161255411257,0.09088722041847042,0.26495806277056283
2021-01-26 04:00:00,33,0.32441187384044523,0.5577110311525896,0.12976474953617811,0.2453928537071394
2021-01-26 05:00:00,32,0.2631613756613757,0.538416477702192,0.07518896447467877,0.179472159234064
2021-01-26 06:00:00,22,0.16570810142238715,0.5291082594654024,0.08772781840008731,0.28011613736403657
2021-01-26 07:00:00,22,0.09905303030303031,0.4830128205128205,0.06053240740740741,0.3488425925925926
2021-01-26 08:00:00,24,0.048694638694638706,0.6766937229437229,0.0287741046831956,0.43062327823691454
2021-01-26 09:00:00,18,0.25168545574795576,0.5695434503767837,0.2013483645983646,0.4556347603014269
2021-01-26 10:00:00,22,0.13415178571428574,0.45444775132275134,0.06707589285714287,0.22722387566137567
2021-01-26 11:00:00,50,0.338299512987013,0.5975082760376877,0.15919977081741787,0.2987541380188439
2021-01-26 12:00:00,39,0.19931586270871984,0.5254509379509379,0.09622145096283026,0.27178496790565754
2021-01-26 13:00:00,43,0.2299630761395467,0.48125868473090694,0.10859367484367483,0.24062934236545347
2021-01-26 14:00:00,45,0.23000440115440118,0.5217562992562992,0.14024658606975682,0.33086984830887267
2021-01-26 15:00:00,26,0.2807823129251701,0.38058035714285715,0.1091931216931217,0.1691468253968254
2021-01-26 16:00:00,32,0.2791666666666667,0.5067708333333334,0.08496376811594203,0.176268115942029
2021-01-26 17:00:00,39,0.16074380165289257,0.46633522727272725,0.06314935064935065,0.19985795454545455
2021-01-26 18:00:00,30,0.3210294117647059,0.506812865497076,0.22739583333333335,0.40122685185185186
2021-01-26 19:00:00,53,0.285054729627098,0.5817187381332118,0.12895333006940146,0.26315847677454823
2021-01-26 20:00:00,69,0.18132936507936512,0.48293650793650783,0.06799851190476192,0.21732142857142853
2021-01-26 21:00:00,75,0.30192760942760943,0.5901042568542568,0.09057828282828283,0.19670141895141893
2021-01-26 22:00:00,55,0.17959644059644064,0.5451638231049997,0.057318012956310845,0.19718691474010627
2021-01-26 23:00:00,69,0.29346500721500723,0.6328273578273578,0.1150843165549048,0.2605759708700885
2021-01-27 00:00:00,56,0.2081062728121552,0.5666053391053392,0.09310017467912206,0.29821333637123115
2021-01-27 01:00:00,49,0.16476423902894488,0.4930346700083542,0.07371031746031745,0.2465173350041771
2021-01-27 02:00:00,44,0.27260428964974415,0.5243290043290043,0.0967305543918447,0.25370758273984084
2021-01-27 03:00:00,66,0.14934895409519475,0.4880005131169728,0.06449159381383408,0.25509117731114483
2021-01-27 04:00:00,33,0.10004251700680271,0.34905045351473923,0.03334750566893424,0.11635015117157975
