time,ethereum_count,ethereum_polarity,ethereum_subjectivity,ethereum_polarity_zeros,ethereum_subjectivity_zeros
2021-01-31 00:00:00,89,0.12309625559625562,0.4813589065255733,0.0666771384479718,0.3008493165784833
2021-01-31 01:00:00,92,0.0931826808457243,0.5062516565067586,0.06212178723048287,0.3595120459250895
2021-01-31 02:00:00,73,0.06782148315865422,0.5877252435064936,0.0444347648280838,0.40532775414240935
2021-01-31 03:00:00,73,0.14023633658008658,0.5637078005973355,0.08629928404928405,0.3729143911643912
2021-01-31 04:00:00,92,0.04980415219700933,0.6568795645964013,0.03853892729530484,0.5473996371636678
2021-01-31 05:00:00,92,0.11034982378732384,0.5009058808423213,0.07550251101237947,0.38886114433811786
2021-01-31 06:00:00,61,-0.011421897546897548,0.5995262005436424,-0.008306834579561854,0.4687204840613931
2021-01-31 07:00:00,52,-0.014946421890866337,0.5083635687229437,-0.009608414072699788,0.38732462378890953
2021-01-31 08:00:00,109,0.06572103602612078,0.6180388713138715,0.04671736295832682,0.4840063450048391
2021-01-31 09:00:00,96,0.13250403384494294,0.5746364109478863,0.09224964381609953,0.44370659579520333
2021-01-31 10:00:00,79,0.10232902687590188,0.5112601456744313,0.05550048915303153,0.30328991692551016
2021-01-31 11:00:00,88,0.12443089318089318,0.517648613463831,0.0724299228963408,0.35540054058710785
2021-01-31 12:00:00,104,0.16232132315736217,0.5417986992776909,0.09522850958565247,0.36842311550882983
2021-01-31 13:00:00,97,0.12447081228956232,0.5573044657888406,0.07012440128989426,0.3767692163079486
2021-01-31 14:00:00,118,0.11291878686615532,0.5218875874722648,0.07314057785648696,0.3676935275372775
2021-01-31 15:00:00,132,0.07883342479117127,0.5999474147785835,0.05434148699197242,0.4485043780383585
2021-01-31 16:00:00,109,0.17408618259312705,0.6156741443254603,0.12052120333370334,0.449915720853221
2021-01-31 17:00:00,120,0.11893385514597637,0.49525841249799574,0.0835067493578132,0.37934686914740096
2021-01-31 18:00:00,95,0.15152099223527793,0.5288028291153292,0.08055546422635029,0.3480727482784445
2021-01-31 19:00:00,94,0.0960524842221271,0.5283025618097672,0.06749634026419743,0.4069357570696856
2021-01-31 20:00:00,77,0.23138846801346802,0.49980151858723304,0.11379760721973838,0.28677136312382223
2021-01-31 21:00:00,71,0.21503582702020196,0.5118862210141281,0.13653068382235045,0.34938265878742075
2021-01-31 22:00:00,62,0.1546121756783522,0.47539067048935474,0.09918516930309386,0.3408461411055751
2021-01-31 23:00:00,73,0.18867695406445406,0.5669524738729282,0.1161088948088948,0.383783213083213
2021-02-01 00:00:00,144,0.14936957800797088,0.4662940500091121,0.08021699559687326,0.2979100875058216
2021-02-01 01:00:00,109,0.16692179913110147,0.5005100593850595,0.08064761081615016,0.30930396928290194
2021-02-01 02:00:00,119,0.11414506995980211,0.515908688389157,0.06589818471906102,0.3403933614114026
2021-02-01 03:00:00,121,0.20047624956461163,0.4645020518696988,0.12638720081247254,0.34332760355586434
2021-02-01 04:00:00,98,0.10012849983780221,0.4932216510341511,0.05740700657367327,0.3288144340227674
2021-02-01 05:00:00,125,0.21269374230603047,0.5213255188974887,0.1280503142454673,0.35109677803300254
2021-02-01 06:00:00,152,0.09022055722055723,0.5688862486145095,0.052831857831857836,0.35363199238199244
2021-02-01 07:00:00,138,0.06898135642135642,0.4491108005918132,0.045382471329839746,0.311225905673274
2021-02-01 08:00:00,141,0.11513647755753015,0.5900347064751827,0.0662906991997901,0.3754766313932981
2021-02-01 09:00:00,157,0.10495702751864724,0.5472133244465563,0.0665352585162853,0.40063832682694306
2021-02-01 10:00:00,146,0.10130111099837671,0.5060117524971423,0.05687079915698342,0.34177986791473647
2021-02-01 11:00:00,152,0.16777243785718368,0.5168248130023492,0.0875979985272021,0.31558329289523973
2021-02-01 12:00:00,127,0.17072590011614405,0.5552932418734304,0.07777513227513229,0.3270060202143535
2021-02-01 13:00:00,159,0.14550711017377685,0.480160325200555,0.08936657160279207,0.32892872671219126
2021-02-01 14:00:00,238,0.07297689486101896,0.5730425101465226,0.05049411412100808,0.445699730113962
2021-02-01 15:00:00,197,0.044494968284030816,0.5220053899025859,0.027558173904948118,0.36035210786823674
2021-02-01 16:00:00,199,0.048587135179758704,0.6099599800728372,0.033113525249899245,0.48563692680958376
2021-02-01 17:00:00,206,0.09755601137189214,0.5760865052881424,0.06126993397137128,0.4215267111864457
2021-02-01 18:00:00,184,0.02900550334168754,0.517274220378387,0.017663607804232796,0.3581129218004217
2021-02-01 19:00:00,177,0.1350360750360751,0.5278434704184707,0.07970879429212767,0.36655796556838244
2021-02-01 20:00:00,198,0.12221809318438531,0.5015420630250726,0.07450281022883762,0.35382761980535943
2021-02-01 21:00:00,181,0.08269152800788603,0.5167131419870182,0.05112987609647915,0.35104938654079865
2021-02-01 22:00:00,234,0.14530818796165335,0.4935455130455129,0.08841040351883728,0.3300213972774213
2021-02-01 23:00:00,208,0.1189284496753247,0.503972085137085,0.062184810287751476,0.32939351969744124
2021-02-02 00:00:00,311,0.13964941894043456,0.5478484129329199,0.07704795527748114,0.33532101136411474
2021-02-02 01:00:00,138,0.14462003196233972,0.5194828383497215,0.09038751997646233,0.3846171014704669
2021-02-02 02:00:00,155,0.08662211617030893,0.5231455078737688,0.05798093259786808,0.3881402155192478
2021-02-02 03:00:00,128,0.08436554318697183,0.5828190558082925,0.05512995891425882,0.42124545617827086
2021-02-02 04:00:00,153,0.07400253284726975,0.503192903669539,0.05579556048008434,0.4273146086717513
